,Event,Stage,Query Date,Query Term,Id,Username,Text,Date,Hashtags,Location
374,ne_bomb_cyclone,after,2019-10-20,power outage,1185574637301878784,v_family,PG&E CEO Says California Could See More Power Outages For 10 Years ,2019-10-19 15:13:15+00:00,,
375,ne_bomb_cyclone,after,2019-10-20,power outage,1185573848311316481,BartenderJoe,"Just when I'm settling in to binge watch ""Animal Kingdom"". Power outage!",2019-10-19 15:10:06+00:00,,
376,ne_bomb_cyclone,after,2019-10-20,power outage,1185573834096873473,Amisa70325669,@KenyaPower_Care reporting power outage since 3pm #14228920352,2019-10-19 15:10:03+00:00,,
377,ne_bomb_cyclone,after,2019-10-20,power outage,1185573426393694209,Britbabeskwhit1,Well I guess they have to do something during all the power outages!!!,2019-10-19 15:08:26+00:00,,
378,ne_bomb_cyclone,after,2019-10-20,power outage,1185572886913966080,tinagolden71165,"The power outage affected 248 hospitals and 304 police and fire agencies, the office said. The sick and infirm living at home, who rely on medical equipment powered by electricity, weren’t spared. ",2019-10-19 15:06:17+00:00,,
379,ne_bomb_cyclone,after,2019-10-20,power outage,1185572088846770176,iamjosh,Power outages already? We don’t even have snow yet..,2019-10-19 15:03:07+00:00,,
380,ne_bomb_cyclone,after,2019-10-20,power outage,1185571498557181952,glhaize," THAT was a Category 5 clapback. Clapbacks like that will leave affected egos uninhabitable for weeks by destroying a high percentage of their self-esteem, isolating the fool who had the temerity to engage by downing trees and power poles and causing weeks of Twitter outages. ",2019-10-19 15:00:46+00:00,,
381,ne_bomb_cyclone,after,2019-10-20,power outage,1185570954686001153,BelenNBCLA,"Winds are back! A warning and advisory is in effect from the coast to the desert with the strongest winds expected in the mountains. Gusts from 50 to 70 mph will cause difficult driving, power outages, and high fire danger. #nbcla @MekahloNBCLA @MichelleNBCLA",2019-10-19 14:58:37+00:00,#nbcla,
382,ne_bomb_cyclone,after,2019-10-20,power outage,1185570896142131200,MyBGE,We apologize for any inconvenience that you've experienced as a result of a power outage. Please report your power outage by calling 1 877.778.2222,2019-10-19 14:58:23+00:00,,
383,ne_bomb_cyclone,after,2019-10-20,power outage,1185570591543353344,StormCenter7,Here is an updated look at power outages across the Miami Valley. More information: http://www.whio.com,2019-10-19 14:57:10+00:00,,
384,ne_bomb_cyclone,after,2019-10-20,power outage,1185570240249204736,TetsuharuHarag1,#HeavyRain #PowerOutage #WaterOutage #TyphoonDamage #Japan #大雨 #停電 #断水 #台風被害 #Day8 #8日目,2019-10-19 14:55:46+00:00,#HeavyRain #PowerOutage #WaterOutage #TyphoonDamage #Japan #Day8 #8,
385,ne_bomb_cyclone,after,2019-10-20,power outage,1185570130425597952,TetsuharuHarag1,#HeavyRain #PowerOutage #WaterOutage #TyphoonDamage #Japan #大雨 #停電 #断水 #台風被害 #Day8 #8日目,2019-10-19 14:55:20+00:00,#HeavyRain #PowerOutage #WaterOutage #TyphoonDamage #Japan #Day8 #8,
386,ne_bomb_cyclone,after,2019-10-20,power outage,1185569845816913922,MekahloNBCLA,"We are expecting #highwinds again this weekend, so we sent @johnNBCLA out to #PorterRanch to check out conditions; @SCE confirmed some 60,000 customers across the region might experience preventative power outages; #TODAYinLA #SaturdayMorning on Channel 4 @NBCLA",2019-10-19 14:54:12+00:00,#highwinds #PorterRanch #TODAYinLA #SaturdayMorning,
387,ne_bomb_cyclone,after,2019-10-20,power outage,1185569781413568517,emilyinnocent25,"Mass. Storms. Lots of power outages' some school delays &amp; caciled, this past week"" ending of a, Stormy week! Hopefully next week? much better"" just alot of clean up.... #blkprgrsv19' 99%",2019-10-19 14:53:57+00:00,#blkprgrsv19,
388,ne_bomb_cyclone,after,2019-10-20,power outage,1185569699624554497,evetsprahs,@AthensAL is there a major power outage here? Power has been off for 2 hours,2019-10-19 14:53:37+00:00,,
389,ne_bomb_cyclone,after,2019-10-20,power outage,1185569597472288768,wbaltv11,"Towson Town Center evacuated after fire, power outage https://www.wbaltv.com/article/towson-town-center-evacuated-friday-after-fire-power-outage/29520491?utm_campaign=WBALTV&amp;utm_content=5dab218c4c15b80001485987&amp;utm_medium=twitter&amp;utm_source=trueAnthem%3A+Trending+Content",2019-10-19 14:53:13+00:00,,
390,ne_bomb_cyclone,after,2019-10-20,power outage,1185569587300974592,TetsuharuHarag1,#HeavyRain #PowerOutage #WaterOutage #TyphoonDamage #Japan #大雨 #停電 #断水 #台風被害 #Day8 #8日目,2019-10-19 14:53:11+00:00,#HeavyRain #PowerOutage #WaterOutage #TyphoonDamage #Japan #Day8 #8,
391,ne_bomb_cyclone,after,2019-10-20,power outage,1185568997065936902,macmansd,PG&E CEO Says California Could See More Power Outages For 10 Years : Commuity power No More BigGrid ,2019-10-19 14:50:50+00:00,,
392,ne_bomb_cyclone,after,2019-10-20,power outage,1185568694015025152,NEFireChiefs,"Power outages statewide at 10:30 AM are ~15,000 Outage tracking map: http://mema.mapsonline.net/public.html Power outage safety tips: http://bit.ly/2j5qs8X MEMA remains in contact with the most impacted communities, and is prepared to provide assistance as n…",2019-10-19 14:49:38+00:00,,
393,ne_bomb_cyclone,after,2019-10-20,power outage,1185568142916898816,glhaize,"THAT was a Category 5 clapback. Clapbacks like that will leave affected egos uninhabitable for weeks by destroying a high percentage of their self-esteem, isolating the fool who had the temerity to engage by downing trees and power poles and causing weeks of Twitter outages. RIP",2019-10-19 14:47:26+00:00,,
394,ne_bomb_cyclone,after,2019-10-20,power outage,1185568120833888256,LimbuMirchi,#Dombivli #Dombivlikars #Thane #Kalyan #MaharashtraElections2019 #AssemblyElections2019 Street Lights of only one #Dombivli East West Bridge facing power Outage right before #AssemblyElections2019 #Nota @AmhiDombivlikar @Arunrythmdivine @Digamber @parimalgandhe,2019-10-19 14:47:21+00:00,#Dombivli #Dombivlikars #Thane #Kalyan #MaharashtraElections2019 #AssemblyElections2019 #Dombivli #AssemblyElections2019 #Nota,
395,ne_bomb_cyclone,after,2019-10-20,power outage,1185568119714123776,MassEMA,"Power outages statewide at 10:30 AM are ~15,000 Outage tracking map: http://mema.mapsonline.net/public.html Power outage safety tips: http://bit.ly/2j5qs8X MEMA remains in contact with the most impacted communities, and is prepared to provide assistance as needed.",2019-10-19 14:47:21+00:00,,
396,ne_bomb_cyclone,after,2019-10-20,power outage,1185567185520992257,RayBoogee,Fuckn power outage while I’m working and cooking this is fuckn great ,2019-10-19 14:43:38+00:00,,
