,Event,City,Stage,Query Date,Id,Username,Text,Date,Hashtags,Location
119,ne_bomb_cyclone,boston,before,2019-10-15,798307948304990208,TripleBRecords,POWER TRIP was the TBA! But y'all already knew that huh? No sneakin nothing past the scene ;)… https://www.instagram.com/p/BMzySamjzXm/,2016-11-14 23:33:41+00:00,,
120,ne_bomb_cyclone,boston,before,2019-10-15,796062949886586880,vjspeckman,"the future is now. pussy power. @Boston, Massachusetts https://www.instagram.com/p/BMj1YX6jB58/",2016-11-08 18:52:52+00:00,,
121,ne_bomb_cyclone,boston,before,2019-10-15,774442123168845824,ONCEsomerville,"Zip-friggin-Tie-friggen-Habdcuffs, people! #power #madness @ONCE Somerville https://www.instagram.com/p/BKKNXZbBJ8i/",2016-09-10 02:59:25+00:00,#power #madness,
122,ne_bomb_cyclone,boston,before,2019-10-15,770061541316124672,reigningit,"Women Who Reign: Allison Tsay ""I went into a power engineering internship this summer with no… https://www.instagram.com/p/BJrFTsCDbjN/",2016-08-29 00:52:33+00:00,,
123,ne_bomb_cyclone,boston,before,2019-10-15,765198186105282560,lizzylrosen,I'm teaching a #FREE power yoga class on the @pruboston garden this Wed at 6pm. BYOMat and come… https://www.instagram.com/p/BJIhtY5BA_G/,2016-08-15 14:47:18+00:00,#FREE,
124,ne_bomb_cyclone,boston,before,2019-10-15,760489523709153280,GlennsGym,A river cuts through a rock not because of it power but because of its persistence. The comeback… https://www.instagram.com/p/BInEddMAEmn/,2016-08-02 14:56:46+00:00,,
125,ne_bomb_cyclone,boston,before,2019-10-15,738875607015100416,scifisportsguy,That's all folks ... @CohassetSports girls lacrosse looking like a true power tonight ,2016-06-03 23:30:47+00:00,,
126,ne_bomb_cyclone,boston,before,2019-10-15,730725561752915968,Amalleolo,This video is not impressive for its face value act of a 225lb power(ish) snatch. In fact a… https://www.instagram.com/p/BFTlX4mgjJL/,2016-05-12 11:45:24+00:00,,
127,ne_bomb_cyclone,boston,before,2019-10-15,728654474781331457,ScottKirsner,Harvard/Babson power conclave at #capitalw:,2016-05-06 18:35:39+00:00,#capitalw,
128,ne_bomb_cyclone,boston,before,2019-10-15,721747283449159680,JessieZapo,Power women Celebrate 50 years of Women @b_a_a_ @tracksmith @The Boston Marathon https://www.instagram.com/p/BETyhzeNhfj/,2016-04-17 17:08:56+00:00,,
129,ne_bomb_cyclone,boston,before,2019-10-15,720758206222315520,adamjapko,31 years later drinking our marriage year wine before Tower of Power show at the Wilbur… https://www.instagram.com/p/BEMwvnOjtax/,2016-04-14 23:38:42+00:00,,
